"","SiteYearLine","Site","Year","CanolaLine","Week","SampleID","SiteYear","s2","s","s.std","s.rev","Yield","yield.std","importance1","importance2","importance3"
"121","L.2016.NAM-72","L",2016,"NAM-72",1,"L.2016.NAM-72.01.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"122","L.2016.NAM-72","L",2016,"NAM-72",2,"L.2016.NAM-72.02.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"123","L.2016.NAM-72","L",2016,"NAM-72",3,"L.2016.NAM-72.03.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"124","L.2016.NAM-72","L",2016,"NAM-72",4,"L.2016.NAM-72.04.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"125","L.2016.NAM-72","L",2016,"NAM-72",5,"L.2016.NAM-72.05.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"126","L.2016.NAM-72","L",2016,"NAM-72",6,"L.2016.NAM-72.06.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"127","L.2016.NAM-72","L",2016,"NAM-72",7,"L.2016.NAM-72.07.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"128","L.2016.NAM-72","L",2016,"NAM-72",8,"L.2016.NAM-72.08.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"129","L.2016.NAM-72","L",2016,"NAM-72",9,"L.2016.NAM-72.09.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"130","L.2016.NAM-72","L",2016,"NAM-72",10,"L.2016.NAM-72.10.R","L.2016",5295.47399940963,72.7700075540028,0.616283860448892,738.20592425724,2332.17333333333,0.479787301601867,0.130479044977201,0.159174258645869,0.130171004134752
"131","L.2016.NAM-76","L",2016,"NAM-76",1,"L.2016.NAM-76.01.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"132","L.2016.NAM-76","L",2016,"NAM-76",2,"L.2016.NAM-76.02.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"133","L.2016.NAM-76","L",2016,"NAM-76",3,"L.2016.NAM-76.03.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"134","L.2016.NAM-76","L",2016,"NAM-76",4,"L.2016.NAM-76.04.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"135","L.2016.NAM-76","L",2016,"NAM-76",5,"L.2016.NAM-76.05.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"136","L.2016.NAM-76","L",2016,"NAM-76",6,"L.2016.NAM-76.06.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"137","L.2016.NAM-76","L",2016,"NAM-76",7,"L.2016.NAM-76.07.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"138","L.2016.NAM-76","L",2016,"NAM-76",8,"L.2016.NAM-76.08.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"139","L.2016.NAM-76","L",2016,"NAM-76",9,"L.2016.NAM-76.09.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"140","L.2016.NAM-76","L",2016,"NAM-76",10,"L.2016.NAM-76.10.R","L.2016",1946.21179421283,44.1158904955214,0.71115768457557,766.860041315722,2776.43333333333,0.696118698332041,0.27576531099374,0.280520958250713,0.248787873310073
"141","L.2016.NAM-79","L",2016,"NAM-79",1,"L.2016.NAM-79.01.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
"142","L.2016.NAM-79","L",2016,"NAM-79",2,"L.2016.NAM-79.02.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
"143","L.2016.NAM-79","L",2016,"NAM-79",3,"L.2016.NAM-79.03.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
"144","L.2016.NAM-79","L",2016,"NAM-79",4,"L.2016.NAM-79.04.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
"145","L.2016.NAM-79","L",2016,"NAM-79",5,"L.2016.NAM-79.05.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
